6, 6, 3
E, 1, 2, 7
F, 1, 2, 9
F, 1, 3, 11
E, 1, 4, 7
F, 1, 4, 12
F, 1, 5, 8
E, 1, 6, 9
F, 1, 6, 12
F, 2, 1, 18
E, 2, 3, 5
F, 2, 3, 15
F, 2, 4, 10
E, 2, 5, 10
F, 2, 5, 17
E, 2, 6, 3
F, 2, 6, 18
E, 3, 1, 9
F, 3, 1, 17
E, 3, 2, 10
F, 3, 2, 18
E, 3, 4, 8
F, 3, 4, 14
E, 3, 5, 4
F, 3, 5, 10
E, 3, 6, 6
F, 3, 6, 10
E, 4, 1, 9
F, 4, 1, 17
E, 4, 2, 4
F, 4, 2, 8
E, 4, 3, 2
F, 4, 3, 10
F, 4, 5, 17
F, 4, 6, 18
E, 5, 1, 3
F, 5, 1, 15
E, 5, 2, 5
F, 5, 2, 9
E, 5, 3, 10
F, 5, 3, 12
E, 5, 4, 10
F, 5, 4, 14
F, 5, 6, 16
F, 6, 1, 18
E, 6, 2, 5
F, 6, 2, 16
E, 6, 3, 8
F, 6, 3, 15
E, 6, 4, 10
F, 6, 4, 8
F, 6, 5, 9

